StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,StudyTime_Binned,Absences_Binned,study_time_bins,Absences_bins
1001,17.0,0.0,1.0,3.0,10.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,4.150311188742797,3.0,Moderate,Few,5-10,6-10
1002,18.0,1.0,3.0,4.0,17.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1570538033426896,3.0,Many,Very Few,10-20,0-5
1003,16.0,0.0,3.0,4.0,13.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,3.2708312011497176,3.0,Moderate,Many,10-20,11-20
1004,17.0,1.0,1.0,3.0,2.0,14.0,1.0,1.0,0.0,1.0,1.0,0.0,2.80923724067044,4.0,Very Few,Moderate,0-5,11-20
1005,17.0,0.0,0.0,3.0,13.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,2.699420181540826,2.0,Moderate,Few,10-20,6-10
1006,18.0,0.0,3.0,2.0,10.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,2.541391270300946,3.0,Moderate,Few,5-10,6-10
1007,15.0,1.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,3.26030765473664,4.0,Few,Few,0-5,0-5
1008,15.0,1.0,2.0,2.0,16.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,3.425995383232651,1.0,Many,Moderate,10-20,11-20
1009,17.0,0.0,2.0,2.0,10.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,1.191988866953177,1.0,Moderate,Moderate,5-10,11-20
1010,16.0,0.0,2.0,0.0,12.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,3.3112316096264696,1.0,Moderate,Many,10-20,11-20
1011,17.0,0.0,2.0,0.0,10.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,2.3124092665636704,3.0,Moderate,Few,5-10,6-10
1012,17.0,0.0,1.0,4.0,16.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3359899585689967,4.0,Many,Moderate,10-20,11-20
1013,17.0,1.0,0.0,4.0,1.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,2.4793813420116826,3.0,Very Few,Moderate,0-5,11-20
1014,17.0,0.0,1.0,0.0,10.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0584721472625613,1.0,Moderate,Moderate,5-10,11-20
1015,18.0,0.0,0.0,2.0,16.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,2.7601086911898576,1.0,Many,Many,10-20,11-20
1016,15.0,0.0,2.0,4.0,19.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,3.458558744616722,3.0,Many,Moderate,10-20,6-10
1017,18.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6870185449937143,1.0,Many,Very Few,10-20,
1018,18.0,0.0,3.0,2.0,18.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,2.225439578830652,2.0,Many,Few,10-20,6-10
1019,18.0,0.0,3.0,3.0,12.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.705106420952462,1.0,Moderate,Very Few,10-20,0-5
1020,17.0,0.0,0.0,3.0,14.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,3.058632683865282,2.0,Moderate,Many,10-20,11-20
1021,16.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.111509051159426,3.0,Very Few,Very Few,0-5,0-5
1022,16.0,0.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8056931812330226,1.0,Very Few,Few,0-5,6-10
1023,16.0,0.0,1.0,0.0,6.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,3.092428605378195,2.0,Few,Few,5-10,6-10
1024,18.0,0.0,0.0,2.0,16.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,2.1318464726753987,1.0,Many,Few,10-20,6-10
1025,18.0,0.0,3.0,0.0,13.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,3.485940867466072,2.0,Moderate,Few,10-20,0-5
1026,16.0,0.0,1.0,0.0,12.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.5355265479817604,4.0,Moderate,Moderate,10-20,11-20
1027,16.0,0.0,2.0,0.0,10.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,2.699420181540826,1.0,Moderate,Few,5-10,6-10
1028,16.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.23149113258358,1.0,Very Few,Very Few,0-5,0-5
1029,18.0,0.0,2.0,0.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6662126549033798,2.0,Moderate,Very Few,10-20,0-5
1030,18.0,1.0,2.0,1.0,3.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,2.652093804997756,1.0,Very Few,Moderate,0-5,11-20
1031,15.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.649120984902489,4.0,Moderate,Very Few,10-20,
1032,15.0,1.0,3.0,1.0,2.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,2.835078733268675,1.0,Very Few,Many,0-5,11-20
11001,18.0,0.0,1.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.699420181540826,3.0,Many,Very Few,10-20,0-5
1034,16.0,0.0,3.0,0.0,9.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,1.880113509333632,1.0,Few,Many,5-10,11-20
11002,16.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,3.272949209608188,1.0,Very Few,Few,0-5,6-10
1036,15.0,0.0,0.0,3.0,13.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,4.26,4.0,Moderate,Few,10-20,6-10
1037,18.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,4.003569772397211,4.0,Very Few,Moderate,0-5,6-10
1038,15.0,1.0,1.0,2.0,10.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0457900923650474,4.0,Moderate,Few,5-10,6-10
1039,15.0,1.0,1.0,4.0,19.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,4.10080189320417,3.0,Many,Very Few,10-20,0-5
1040,17.0,1.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.88866586099894,1.0,Many,Very Few,10-20,
1041,17.0,1.0,1.0,4.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.080049533958941,1.0,Moderate,Very Few,10-20,
11003,17.0,0.0,1.0,4.0,15.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,2.4833742772440823,1.0,Many,Moderate,10-20,6-10
1043,16.0,0.0,3.0,2.0,6.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3021981620373486,2.0,Few,Moderate,5-10,6-10
